repo_name,repo_owner,git_url,api_base_url,source_type
bwa,lh3,git://github.com/lh3/bwa.git,http://api.github.com,github_repo
pretty,kr,git://github.com/kr/pretty.git,http://api.github.com,github_repo
django-hstore,djangonauts,git://github.com/djangonauts/django-hstore.git,http://api.github.com,github_repo
stlink,texane,git://github.com/texane/stlink.git,http://api.github.com,github_repo
socketstream,socketstream,git://github.com/socketstream/socketstream.git,http://api.github.com,github_repo
CodeMirror,codemirror,git://github.com/codemirror/CodeMirror.git,http://api.github.com,github_repo
PowerSlim,konstantinvlasenko,git://github.com/konstantinvlasenko/PowerSlim.git,http://api.github.com,github_repo
pg_search,Casecommons,git://github.com/Casecommons/pg_search.git,http://api.github.com,github_repo
ofxBox2d,vanderlin,git://github.com/vanderlin/ofxBox2d.git,http://api.github.com,github_repo
psptoolchain,pspdev,git://github.com/pspdev/psptoolchain.git,http://api.github.com,github_repo
follow-all,codeforamerica,git://github.com/codeforamerica/follow-all.git,http://api.github.com,github_repo
CollaboRhythm,newmediamedicine,git://github.com/newmediamedicine/CollaboRhythm.git,http://api.github.com,github_repo
contravariant,ekmett,git://github.com/ekmett/contravariant.git,http://api.github.com,github_repo
nitrogen_core,nitrogen,git://github.com/nitrogen/nitrogen_core.git,http://api.github.com,github_repo
dmd,dlang,git://github.com/dlang/dmd.git,http://api.github.com,github_repo
dlang.org,dlang,git://github.com/dlang/dlang.org.git,http://api.github.com,github_repo
phobos,dlang,git://github.com/dlang/phobos.git,http://api.github.com,github_repo
druntime,dlang,git://github.com/dlang/druntime.git,http://api.github.com,github_repo
pulsar,quantmind,git://github.com/quantmind/pulsar.git,http://api.github.com,github_repo
lanes,LuaLanes,git://github.com/LuaLanes/lanes.git,http://api.github.com,github_repo
JAABA,kristinbranson,git://github.com/kristinbranson/JAABA.git,http://api.github.com,github_repo
ipdb,gotcha,git://github.com/gotcha/ipdb.git,http://api.github.com,github_repo
OHAttributedLabel,AliSoftware,git://github.com/AliSoftware/OHAttributedLabel.git,http://api.github.com,github_repo
Osmand,osmandapp,git://github.com/osmandapp/Osmand.git,http://api.github.com,github_repo
reactive-banana,HeinrichApfelmus,git://github.com/HeinrichApfelmus/reactive-banana.git,http://api.github.com,github_repo
phpSec,phpsec,git://github.com/phpsec/phpSec.git,http://api.github.com,github_repo
openitg,openitg,git://github.com/openitg/openitg.git,http://api.github.com,github_repo
bud,bloom-lang,git://github.com/bloom-lang/bud.git,http://api.github.com,github_repo
webbit,webbit,git://github.com/webbit/webbit.git,http://api.github.com,github_repo
MKStoreKit,MugunthKumar,git://github.com/MugunthKumar/MKStoreKit.git,http://api.github.com,github_repo
django-analytical,jcassee,git://github.com/jcassee/django-analytical.git,http://api.github.com,github_repo
LicenseFinder,pivotal-legacy,git://github.com/pivotal-legacy/LicenseFinder.git,http://api.github.com,github_repo
installer,dlang,git://github.com/dlang/installer.git,http://api.github.com,github_repo
GUMP,Wixel,git://github.com/Wixel/GUMP.git,http://api.github.com,github_repo
limejs,digitalfruit,git://github.com/digitalfruit/limejs.git,http://api.github.com,github_repo
stompjms,fusesource,git://github.com/fusesource/stompjms.git,http://api.github.com,github_repo
unordered-containers,tibbe,git://github.com/tibbe/unordered-containers.git,http://api.github.com,github_repo
brut.apktool,brutall,git://github.com/brutall/brut.apktool.git,http://api.github.com,github_repo
GeoExplorer,boundlessgeo,git://github.com/boundlessgeo/GeoExplorer.git,http://api.github.com,github_repo
davis.js,olivernn,git://github.com/olivernn/davis.js.git,http://api.github.com,github_repo
